@relation InstanceResultListener

@attribute Key_Dataset {'phishing_reduction-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.instance.RemoveRange-R250,2605,748,234,247,184,804,210,111,432,576,438,836,4754,669,956,260,1030,375,2886,1350,3513,283,1489,2775,1833,705,402,4369,1486,1238,662,2836,182,1318,240,379,997,419,5325,916,436,1535,1384,4301,1254,703,1212,782,515,5580,1114,5733,5845,700,583,5195,1054,1834,626,1745,2829,3686,5534,3123,2918,2938,112,4616,3898,3278,3332,587,1912,723,2958,512,2294,2296,2853,3192,2258,3582,2963,2683,2749,3483,3441,573,3148,2041,2652,4466,4843,1118,5128,5276,4942,4472,4838,682,5461,4094,4352,4922,5196,2636,5280,401,5405,4354,4221,4965,4492,4340,4862,4305,1529,4510,4338,4663,989,4836,4414,2237,1380,1473,1483'}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes,weka.classifiers.trees.J48,weka.classifiers.functions.Logistic,weka.classifiers.lazy.IBk,weka.classifiers.bayes.BayesNet,weka.classifiers.rules.OneR,weka.classifiers.rules.DecisionTable}
@attribute Key_Scheme_options {'','-C 0.25 -M 2','-R 1.0E-8 -M -1 -num-decimal-places 4','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5','-B 6','-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"'}
@attribute Key_Scheme_version_ID {5995231201785697655,-217733168393644444,3932117032546553727,-3080186098777067172,746037443258775954,-3459427003147861443,2888557078165701326}
@attribute Num_Fold numeric
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 82\nSize of the tree: 144\n','Number of leaves: 95\nSize of the tree: 165\n','Number of leaves: 104\nSize of the tree: 183\n','Number of leaves: 104\nSize of the tree: 178\n','Number of leaves: 98\nSize of the tree: 173\n','Number of leaves: 90\nSize of the tree: 156\n','Number of leaves: 108\nSize of the tree: 188\n','Number of leaves: 83\nSize of the tree: 147\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric

@data

'phishing_reduction-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.instance.RemoveRange-R250,2605,748,234,247,184,804,210,111,432,576,438,836,4754,669,956,260,1030,375,2886,1350,3513,283,1489,2775,1833,705,402,4369,1486,1238,662,2836,182,1318,240,379,997,419,5325,916,436,1535,1384,4301,1254,703,1212,782,515,5580,1114,5733,5845,700,583,5195,1054,1834,626,1745,2829,3686,5534,3123,2918,2938,112,4616,3898,3278,3332,587,1912,723,2958,512,2294,2296,2853,3192,2258,3582,2963,2683,2749,3483,3441,573,3148,2041,2652,4466,4843,1118,5128,5276,4942,4472,4838,682,5461,4094,4352,4922,5196,2636,5280,401,5405,4354,4221,4965,4492,4340,4862,4305,1529,4510,4338,4663,989,4836,4414,2237,1380,1473,1483',1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,5,20190508.1322,4576.8,1144.2,1061.6,82.6,0,92.78111,7.21889,0,0.855607,0.093735,0.232136,18.767131,46.45197,1143.31824,299.236728,844.081512,0.999229,0.26152,0.737709,938.973056,0.82064,82.127286,0.916047,541.2,0.059629,33,0.940371,520.4,0.083953,49.6,0.942568,0.916047,0.929083,0.856031,0.980797,0.983772,0.927811,0.071394,0.928606,0.072189,0.928305,0.927811,0.927827,0.856031,0.980797,0.981331,0.927785,0.927811,0,0.0126,0,0.0125,0,12.5,10815,1273934.6,323104.4,98.671527,62.078267,?,?,?,?,?,?,?,?,?,?,?,?,?
'phishing_reduction-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.instance.RemoveRange-R250,2605,748,234,247,184,804,210,111,432,576,438,836,4754,669,956,260,1030,375,2886,1350,3513,283,1489,2775,1833,705,402,4369,1486,1238,662,2836,182,1318,240,379,997,419,5325,916,436,1535,1384,4301,1254,703,1212,782,515,5580,1114,5733,5845,700,583,5195,1054,1834,626,1745,2829,3686,5534,3123,2918,2938,112,4616,3898,3278,3332,587,1912,723,2958,512,2294,2296,2853,3192,2258,3582,2963,2683,2749,3483,3441,573,3148,2041,2652,4466,4843,1118,5128,5276,4942,4472,4838,682,5461,4094,4352,4922,5196,2636,5280,401,5405,4354,4221,4965,4492,4340,4862,4305,1529,4510,4338,4663,989,4836,4414,2237,1380,1473,1483',2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,5,20190508.1322,4576.8,1144.2,1062.8,81.4,0,92.885822,7.114178,0,0.857684,0.093271,0.23143,18.674156,46.310644,1143.31824,297.488283,845.829958,0.999229,0.259996,0.739233,940.117921,0.821637,82.227117,0.918415,542.6,0.059989,33.2,0.940011,520.2,0.081585,48.2,0.942402,0.918415,0.93024,0.858009,0.980962,0.983923,0.928858,0.070432,0.929568,0.071142,0.929242,0.928858,0.928875,0.858009,0.980962,0.981486,0.928829,0.928858,0.0032,0.003,0.003125,0.003125,3.125,3.125,10815,1273934.6,323104.4,98.724051,61.990946,?,?,?,?,?,?,?,?,?,?,?,?,?
'phishing_reduction-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.instance.RemoveRange-R250,2605,748,234,247,184,804,210,111,432,576,438,836,4754,669,956,260,1030,375,2886,1350,3513,283,1489,2775,1833,705,402,4369,1486,1238,662,2836,182,1318,240,379,997,419,5325,916,436,1535,1384,4301,1254,703,1212,782,515,5580,1114,5733,5845,700,583,5195,1054,1834,626,1745,2829,3686,5534,3123,2918,2938,112,4616,3898,3278,3332,587,1912,723,2958,512,2294,2296,2853,3192,2258,3582,2963,2683,2749,3483,3441,573,3148,2041,2652,4466,4843,1118,5128,5276,4942,4472,4838,682,5461,4094,4352,4922,5196,2636,5280,401,5405,4354,4221,4965,4492,4340,4862,4305,1529,4510,4338,4663,989,4836,4414,2237,1380,1473,1483',3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,5,20190508.1322,4576.8,1144.2,1062.2,82,0,92.833435,7.166565,0,0.856647,0.093587,0.232052,18.737505,46.43512,1143.31824,298.380279,844.937961,0.999229,0.260775,0.738454,939.28815,0.820912,82.154541,0.917062,541.8,0.059635,33,0.940365,520.4,0.082938,49,0.942633,0.917062,0.929643,0.857035,0.980987,0.983918,0.928334,0.070908,0.929092,0.071666,0.928788,0.928334,0.928351,0.857035,0.980987,0.981516,0.928307,0.928334,0,0.0158,0,0.015625,0,15.625,10815,1273934.6,323104.4,98.706538,61.990938,?,?,?,?,?,?,?,?,?,?,?,?,?
'phishing_reduction-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.instance.RemoveRange-R250,2605,748,234,247,184,804,210,111,432,576,438,836,4754,669,956,260,1030,375,2886,1350,3513,283,1489,2775,1833,705,402,4369,1486,1238,662,2836,182,1318,240,379,997,419,5325,916,436,1535,1384,4301,1254,703,1212,782,515,5580,1114,5733,5845,700,583,5195,1054,1834,626,1745,2829,3686,5534,3123,2918,2938,112,4616,3898,3278,3332,587,1912,723,2958,512,2294,2296,2853,3192,2258,3582,2963,2683,2749,3483,3441,573,3148,2041,2652,4466,4843,1118,5128,5276,4942,4472,4838,682,5461,4094,4352,4922,5196,2636,5280,401,5405,4354,4221,4965,4492,4340,4862,4305,1529,4510,4338,4663,989,4836,4414,2237,1380,1473,1483',4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,5,20190508.1322,4576.8,1144.2,1061.4,82.8,0,92.763413,7.236587,0,0.855242,0.093566,0.232015,18.733131,46.427838,1143.31824,298.627815,844.690425,0.999229,0.260992,0.738237,939.375752,0.820989,82.162209,0.916383,541.4,0.060362,33.4,0.939638,520,0.083617,49.4,0.942084,0.916383,0.928977,0.855727,0.980964,0.983906,0.927634,0.071613,0.928387,0.072366,0.928183,0.927634,0.927646,0.855727,0.980964,0.981489,0.927601,0.927634,0,0.0062,0,0.00625,0,6.25,10815,1273934.6,323104.4,98.636669,61.973433,?,?,?,?,?,?,?,?,?,?,?,?,?
'phishing_reduction-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.instance.RemoveRange-R250,2605,748,234,247,184,804,210,111,432,576,438,836,4754,669,956,260,1030,375,2886,1350,3513,283,1489,2775,1833,705,402,4369,1486,1238,662,2836,182,1318,240,379,997,419,5325,916,436,1535,1384,4301,1254,703,1212,782,515,5580,1114,5733,5845,700,583,5195,1054,1834,626,1745,2829,3686,5534,3123,2918,2938,112,4616,3898,3278,3332,587,1912,723,2958,512,2294,2296,2853,3192,2258,3582,2963,2683,2749,3483,3441,573,3148,2041,2652,4466,4843,1118,5128,5276,4942,4472,4838,682,5461,4094,4352,4922,5196,2636,5280,401,5405,4354,4221,4965,4492,4340,4862,4305,1529,4510,4338,4663,989,4836,4414,2237,1380,1473,1483',5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,5,20190508.1322,4576.8,1144.2,1062.2,82,0,92.833389,7.166611,0,0.856647,0.093367,0.231323,18.693454,46.289411,1143.31824,297.566617,845.751624,0.999229,0.260065,0.739164,939.990886,0.821526,82.215974,0.917064,541.8,0.059633,33,0.940367,520.4,0.082936,49,0.942717,0.917064,0.929638,0.85712,0.981014,0.983943,0.928334,0.070903,0.929097,0.071666,0.928873,0.928334,0.928347,0.85712,0.981014,0.981549,0.928303,0.928334,0.0032,0.0064,0.003125,0.00625,3.125,6.25,10815,1273934.6,323104.4,98.68904,61.964646,?,?,?,?,?,?,?,?,?,?,?,?,?
'phishing_reduction-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.instance.RemoveRange-R250,2605,748,234,247,184,804,210,111,432,576,438,836,4754,669,956,260,1030,375,2886,1350,3513,283,1489,2775,1833,705,402,4369,1486,1238,662,2836,182,1318,240,379,997,419,5325,916,436,1535,1384,4301,1254,703,1212,782,515,5580,1114,5733,5845,700,583,5195,1054,1834,626,1745,2829,3686,5534,3123,2918,2938,112,4616,3898,3278,3332,587,1912,723,2958,512,2294,2296,2853,3192,2258,3582,2963,2683,2749,3483,3441,573,3148,2041,2652,4466,4843,1118,5128,5276,4942,4472,4838,682,5461,4094,4352,4922,5196,2636,5280,401,5405,4354,4221,4965,4492,4340,4862,4305,1529,4510,4338,4663,989,4836,4414,2237,1380,1473,1483',6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,5,20190508.1322,4576.8,1144.2,1061.2,83,0,92.746038,7.253962,0,0.854901,0.093391,0.231674,18.698234,46.359509,1143.31824,297.977956,845.340285,0.999229,0.260423,0.738807,939.747978,0.821316,82.194923,0.915707,541,0.059989,33.2,0.940011,520.2,0.084293,49.8,0.942272,0.915707,0.92877,0.855318,0.980915,0.983899,0.92746,0.071743,0.928257,0.07254,0.927945,0.92746,0.927477,0.855318,0.980915,0.981449,0.927434,0.92746,0.0032,0.0062,0.003125,0.00625,3.125,6.25,10815,1273934.6,323104.4,98.706523,62.095772,?,?,?,?,?,?,?,?,?,?,?,?,?
'phishing_reduction-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.instance.RemoveRange-R250,2605,748,234,247,184,804,210,111,432,576,438,836,4754,669,956,260,1030,375,2886,1350,3513,283,1489,2775,1833,705,402,4369,1486,1238,662,2836,182,1318,240,379,997,419,5325,916,436,1535,1384,4301,1254,703,1212,782,515,5580,1114,5733,5845,700,583,5195,1054,1834,626,1745,2829,3686,5534,3123,2918,2938,112,4616,3898,3278,3332,587,1912,723,2958,512,2294,2296,2853,3192,2258,3582,2963,2683,2749,3483,3441,573,3148,2041,2652,4466,4843,1118,5128,5276,4942,4472,4838,682,5461,4094,4352,4922,5196,2636,5280,401,5405,4354,4221,4965,4492,4340,4862,4305,1529,4510,4338,4663,989,4836,4414,2237,1380,1473,1483',7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,5,20190508.1322,4576.8,1144.2,1062.6,81.6,0,92.868339,7.131661,0,0.857344,0.093358,0.231549,18.691481,46.334546,1143.31824,297.515067,845.803173,0.999229,0.260021,0.739209,939.88999,0.821438,82.207124,0.917737,542.2,0.059631,33,0.940369,520.4,0.082263,48.6,0.942665,0.917737,0.929998,0.857727,0.981066,0.983983,0.928683,0.070577,0.929423,0.071317,0.929131,0.928683,0.928699,0.857727,0.981066,0.9816,0.928655,0.928683,0.0032,0.0094,0.003125,0.009375,3.125,9.375,10815,1273934.6,323104.4,98.636684,62.025987,?,?,?,?,?,?,?,?,?,?,?,?,?
'phishing_reduction-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.instance.RemoveRange-R250,2605,748,234,247,184,804,210,111,432,576,438,836,4754,669,956,260,1030,375,2886,1350,3513,283,1489,2775,1833,705,402,4369,1486,1238,662,2836,182,1318,240,379,997,419,5325,916,436,1535,1384,4301,1254,703,1212,782,515,5580,1114,5733,5845,700,583,5195,1054,1834,626,1745,2829,3686,5534,3123,2918,2938,112,4616,3898,3278,3332,587,1912,723,2958,512,2294,2296,2853,3192,2258,3582,2963,2683,2749,3483,3441,573,3148,2041,2652,4466,4843,1118,5128,5276,4942,4472,4838,682,5461,4094,4352,4922,5196,2636,5280,401,5405,4354,4221,4965,4492,4340,4862,4305,1529,4510,4338,4663,989,4836,4414,2237,1380,1473,1483',8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,5,20190508.1322,4576.8,1144.2,1062,82.2,0,92.815922,7.184078,0,0.856299,0.093332,0.231382,18.686339,46.301046,1143.31824,297.175564,846.142677,0.999229,0.259725,0.739505,939.953411,0.821495,82.212893,0.916719,541.6,0.059627,33,0.940373,520.4,0.083281,49.2,0.94258,0.916719,0.929454,0.85667,0.981059,0.983987,0.928159,0.071068,0.928932,0.071841,0.928597,0.928159,0.928177,0.85667,0.981059,0.981598,0.928134,0.928159,0,0.0062,0,0.00625,0,6.25,10815,1273934.6,323104.4,98.654029,61.99077,?,?,?,?,?,?,?,?,?,?,?,?,?
'phishing_reduction-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.instance.RemoveRange-R250,2605,748,234,247,184,804,210,111,432,576,438,836,4754,669,956,260,1030,375,2886,1350,3513,283,1489,2775,1833,705,402,4369,1486,1238,662,2836,182,1318,240,379,997,419,5325,916,436,1535,1384,4301,1254,703,1212,782,515,5580,1114,5733,5845,700,583,5195,1054,1834,626,1745,2829,3686,5534,3123,2918,2938,112,4616,3898,3278,3332,587,1912,723,2958,512,2294,2296,2853,3192,2258,3582,2963,2683,2749,3483,3441,573,3148,2041,2652,4466,4843,1118,5128,5276,4942,4472,4838,682,5461,4094,4352,4922,5196,2636,5280,401,5405,4354,4221,4965,4492,4340,4862,4305,1529,4510,4338,4663,989,4836,4414,2237,1380,1473,1483',9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,5,20190508.1322,4576.8,1144.2,1061.8,82.4,0,92.798363,7.201637,0,0.855943,0.093417,0.231727,18.703464,46.37009,1143.31824,298.028537,845.289703,0.999229,0.260472,0.738758,939.786344,0.821346,82.197923,0.917059,541.8,0.06035,33.4,0.93965,520,0.082941,49,0.941974,0.917059,0.92932,0.856316,0.98092,0.983866,0.927984,0.071274,0.928726,0.072016,0.928421,0.927984,0.928,0.856316,0.98092,0.981459,0.927956,0.927984,0,0.0156,0,0.015625,0,15.625,10815,1273934.6,323104.4,98.706538,62.069625,?,?,?,?,?,?,?,?,?,?,?,?,?
